u,g,r,i,z,class,redshift,redshift_err
19.18972,19.12438,18.82214,18.80896,18.81557,QSO,1.264402,0.0003417174
18.41964,16.91695,16.23405,15.81656,15.59913,GALAXY,0.04455375,9.723331e-06
19.21793,18.13819,17.5582,17.08466,16.92309,GALAXY,0.1299728,6.639286e-06
19.54942,19.44408,19.3483,19.09969,19.11365,QSO,1.822167,0.0005852721
19.16211,18.17274,17.81498,17.55303,17.4515,GALAXY,0.04826063,5.776589e-06
17.21786,16.01736,15.42678,15.02604,14.73818,GALAXY,0.0448372,3.636396e-06
18.92602,17.11987,16.19669,15.80954,15.49129,GALAXY,0.09380474,1.575188e-05
18.51831,16.78682,15.88447,15.39343,15.02033,GALAXY,0.06718317,1.150276e-05
19.4198,18.1704,17.59772,17.30939,17.11758,GALAXY,0.09883255,1.495689e-05
19.43677,19.33234,19.00664,18.98612,19.09729,QSO,1.237815,0.0003395245
19.36438,17.35873,16.46426,16.04584,15.74519,GALAXY,0.07265184,1.218704e-05
18.9798,16.99237,16.06998,15.63994,15.32393,GALAXY,0.07271349,1.882719e-05
19.11512,17.23961,16.26916,15.78818,15.3992,GALAXY,0.07473965,2.011967e-05
19.44853,17.57242,16.57808,16.1795,15.84364,GALAXY,0.1295395,2.273207e-05
17.84148,16.05635,15.28528,14.9248,14.61803,GALAXY,0.07249121,1.540283e-05
18.33815,17.36769,17.06578,16.84239,16.82326,GALAXY,0.07448959,6.830295e-06
17.88849,17.84475,17.80927,17.61174,17.49505,QSO,1.927581,0.0002583889
18.48897,17.22406,16.49484,15.95628,15.78232,GALAXY,0.1306443,2.159762e-05
17.82755,16.79241,16.34515,16.03219,15.90165,GALAXY,0.07361115,8.697518e-06
19.01956,17.66282,16.89973,16.49086,16.21484,GALAXY,0.1292642,1.201439e-05
19.06403,17.89875,17.46943,17.17385,17.02929,GALAXY,0.08057972,1.409762e-05
18.98081,17.26788,16.47328,16.09947,15.81581,GALAXY,0.06689933,1.972462e-05
17.30656,16.8064,16.73863,17.03375,16.74114,GALAXY,0.01140887,5.014134e-06
19.33701,17.70389,16.86474,16.42532,16.10934,GALAXY,0.0736738,1.148859e-05
19.15651,17.51882,16.67953,16.20524,15.83981,GALAXY,0.06696435,1.639891e-05
19.02937,17.52686,16.7433,16.31356,16.02508,GALAXY,0.07424898,9.917567e-06
19.35301,17.36494,16.15049,15.80352,15.34797,GALAXY,0.1136634,2.249903e-05
18.89888,17.03218,16.14681,15.72388,15.38663,GALAXY,0.06691764,1.450906e-05
19.25611,18.01523,17.52347,17.23425,17.1186,GALAXY,0.1491671,1.005304e-05
19.39362,18.19166,17.56153,17.15547,16.89356,GALAXY,0.1077087,6.721088e-06
19.57211,18.35577,17.66891,17.34023,17.12047,GALAXY,0.107973,2.23153e-05
17.90168,16.41716,15.78977,15.42194,15.20473,GALAXY,0.06690687,2.003088e-05
19.34717,17.39704,16.50048,16.08673,15.75818,GALAXY,0.06515716,1.425715e-05
19.06214,18.01795,17.57312,17.27444,17.17594,GALAXY,0.1087178,9.196602e-06
19.46933,18.30116,17.52277,17.08318,16.77485,GALAXY,0.1409077,1.027398e-05
19.1907,17.34886,16.3885,15.97425,15.60207,GALAXY,0.1108023,2.387796e-05
19.29948,19.21407,19.09095,19.17844,19.05286,QSO,0.8991011,0.0003561792
19.23018,17.3162,16.31718,15.90368,15.56838,GALAXY,0.107972,2.236892e-05
19.05988,18.96397,18.83999,18.80715,18.70417,QSO,2.021496,0.0007171685
16.54599,15.27221,14.66563,14.31178,14.05689,GALAXY,0.03965527,9.36022e-06
19.2819,18.12845,17.54113,17.18571,17.01024,GALAXY,0.1257783,6.693654e-06
18.92223,17.4383,16.6216,16.21097,15.86363,GALAXY,0.1331647,2.853418e-05
18.05842,17.87733,17.75838,17.55927,17.68461,QSO,1.496301,0.0002149854
19.42462,17.74815,16.95352,16.60457,16.30125,GALAXY,0.08362511,1.667503e-05
19.27469,18.16395,17.63117,17.32983,17.16748,GALAXY,0.1303879,6.226412e-06
19.00014,17.975,17.54121,17.29795,17.16283,GALAXY,0.06558695,9.153436e-06
19.31279,17.4521,16.55774,16.16005,15.81558,GALAXY,0.08354177,1.720243e-05
19.25318,17.414,16.50872,16.11258,15.78658,GALAXY,0.0837595,2.001293e-05
17.89772,16.75909,16.31364,16.03608,15.88481,GALAXY,0.06457705,1.140231e-05
18.75001,17.15207,16.35009,15.90605,15.56319,GALAXY,0.1017262,1.198549e-05
19.43554,18.29469,17.61206,17.21314,16.93843,GALAXY,0.1472166,1.061478e-05
19.48392,17.62518,16.72457,16.31788,15.94672,GALAXY,0.08458351,2.608398e-05
18.04094,16.96623,16.39362,16.02272,15.82562,GALAXY,0.1066633,1.001024e-05
19.20549,17.13378,16.06145,15.60465,15.25291,GALAXY,0.1046281,1.697559e-05
19.10268,17.22742,16.3946,15.97123,15.65403,GALAXY,0.06258081,2.264136e-05
18.94734,16.90022,16.04736,15.62871,15.32176,GALAXY,0.06257164,1.301904e-05
19.38732,17.99336,17.06653,16.57668,16.23522,GALAXY,0.1613203,2.298049e-05
18.2783,16.43517,15.61148,15.18856,14.86976,GALAXY,0.0648118,1.520009e-05
19.49344,18.15803,17.44964,17.04049,16.76497,GALAXY,0.1072817,2.356679e-05
19.45341,19.31075,19.14143,19.2223,19.26472,QSO,0.9691434,9.453877e-05
18.34814,16.55378,15.66884,15.17052,14.74899,GALAXY,0.0447297,1.557144e-05
19.54724,18.2349,17.43686,17.03904,16.71618,GALAXY,0.1451071,2.39504e-05
19.08047,17.65681,17.06442,16.72251,16.50888,GALAXY,0.08348652,1.894313e-05
18.92951,17.67981,17.09787,16.75788,16.5613,GALAXY,0.0837782,1.158579e-05
18.31523,18.23363,18.05319,18.20907,18.26515,QSO,0.9909245,0.0001523363
18.41552,16.92907,16.23068,15.84543,15.55758,GALAXY,0.08344072,1.700044e-05
19.18111,17.70241,17.11137,16.73771,16.54675,GALAXY,0.04852889,1.397005e-05
19.10148,18.00622,17.50113,17.15743,16.95275,GALAXY,0.1096078,9.608265e-06
19.17431,17.81736,17.12075,16.74413,16.4743,GALAXY,0.09368324,1.289959e-05
19.36607,17.6929,16.9463,16.59864,16.30581,GALAXY,0.04570985,1.504575e-05
19.49146,19.58862,19.55213,19.34153,19.40595,QSO,1.858643,0.0005178407
19.3351,17.97492,17.30907,16.91026,16.62506,GALAXY,0.06664509,1.013383e-05
18.77865,17.3832,16.59266,16.19203,15.87616,GALAXY,0.1110527,1.475212e-05
18.0901,16.12377,15.23332,14.80099,14.4769,GALAXY,0.04521846,1.136016e-05
19.36847,19.00683,18.94977,18.95144,18.83511,QSO,0.7353616,0.0003046534
18.468,17.2417,16.70176,16.39804,16.18918,GALAXY,0.04553753,7.291259e-06
18.96725,18.09744,17.91374,17.67874,17.63226,GALAXY,0.04560815,5.722313e-06
19.46282,17.65876,16.6344,16.10761,15.80843,QSO,0.146085,4.672749e-05
18.91883,17.93751,17.54467,17.24323,17.12013,GALAXY,0.08516416,7.553775e-06
19.54654,18.14548,17.37142,16.96859,16.64955,GALAXY,0.1300488,9.452514e-06
18.87329,18.57016,18.43351,18.16743,18.0713,QSO,1.694884,0.0002599294
19.3231,18.11611,17.66541,17.35005,17.34712,GALAXY,0.08433664,1.022136e-05
19.18315,17.20626,16.31935,15.90313,15.58828,GALAXY,0.06281922,1.938485e-05
19.40804,19.1888,18.87033,18.88038,18.80782,QSO,0.9587629,0.0003666438
19.06281,18.8856,18.19296,18.27804,18.19322,QSO,1.345193,7.602581e-05
18.5387,17.01544,16.18105,15.72726,15.41215,GALAXY,0.1061369,1.010552e-05
19.27305,17.53804,16.78068,16.37597,16.06696,GALAXY,0.08957177,2.768674e-05
19.04916,17.69926,17.19013,16.90289,16.68767,GALAXY,0.06246785,1.464541e-05
18.76638,17.34545,16.67102,16.31164,16.0456,GALAXY,0.06412008,2.04973e-05
19.25886,18.07497,17.33838,16.89619,16.63948,GALAXY,0.1466893,1.268756e-05
18.98329,17.75957,17.18037,16.83754,16.66936,GALAXY,0.1145148,1.190724e-05
17.87067,16.75202,16.39563,16.1793,16.01037,GALAXY,0.04058199,8.09084e-06
19.36916,17.47098,16.44805,16.0042,15.62363,GALAXY,0.1097939,2.152071e-05
19.51773,18.17646,17.36331,16.99277,16.74508,GALAXY,0.1461519,1.454354e-05
18.82541,17.70159,17.0724,16.71711,16.49379,GALAXY,0.1077757,7.938139e-06
17.74974,16.70004,16.22237,15.87753,15.7136,GALAXY,0.08918032,6.402496e-06
19.452,18.10031,17.31469,16.86245,16.54982,GALAXY,0.1104538,8.869366e-06
18.6742,17.75676,17.46181,17.20311,17.12723,GALAXY,0.06235978,6.866468e-06
19.28062,18.01769,17.44479,17.12208,16.8812,GALAXY,0.05259155,9.606285e-06
18.93826,16.88528,15.92196,15.48842,15.15867,GALAXY,0.0,0.0
19.36576,17.59613,16.75628,16.32517,15.98389,GALAXY,0.08521315,1.897378e-05
18.88256,17.21892,16.34845,15.90024,15.57609,GALAXY,0.1458452,1.678771e-05
18.69724,17.61918,17.14766,16.86246,16.71884,GALAXY,0.1121057,9.750872e-06
19.58497,17.65131,16.60316,16.13808,15.73495,GALAXY,0.1096568,3.670245e-05
18.99202,17.51982,16.8309,16.49323,16.29993,GALAXY,0.08386929,1.936108e-05
18.96567,17.01149,16.10257,15.69153,15.32734,GALAXY,0.06436349,1.609473e-05
19.45662,18.25012,17.62144,17.26809,17.08971,GALAXY,0.1445891,2.096319e-05
19.46448,19.37045,18.87888,18.79863,18.80881,QSO,1.366289,0.0004794207
18.35016,16.97503,16.29229,15.85664,15.58496,GALAXY,0.07681673,7.121202e-06
19.24027,17.3258,16.43011,15.96326,15.61654,GALAXY,0.09003006,2.336016e-05
18.47265,17.33257,16.81975,16.46438,16.26124,GALAXY,0.06288631,7.66739e-06
18.93073,17.80269,17.29266,17.02266,16.82796,GALAXY,0.0302739,6.728334e-06
19.52954,18.04246,17.24448,16.7884,16.50019,GALAXY,0.1344386,1.103673e-05
19.34427,17.64717,16.72133,16.22867,15.86534,GALAXY,0.09031808,1.423135e-05
19.0969,17.48917,16.8588,16.43653,16.22009,GALAXY,0.1325711,6.721134e-06
18.99995,17.96758,17.52978,17.30772,17.11521,GALAXY,0.02519428,7.691865e-06
19.26762,18.85807,18.94949,18.67613,18.68727,QSO,0.5517347,3.395603e-05
18.80385,18.72688,18.57815,18.57517,18.62597,QSO,1.364481,0.0004378275
19.46383,19.28026,19.108,18.9077,18.775,QSO,1.566972,0.0002552565
19.13079,17.43396,16.58712,16.07072,15.72949,GALAXY,0.1362414,9.319949e-06
16.90431,16.60766,16.7752,16.73263,16.88652,QSO,0.5896417,6.718691e-05
19.45357,17.81799,16.90356,16.47559,16.17419,GALAXY,0.1367472,1.737334e-05
18.12193,16.59848,15.80584,15.34208,15.04329,GALAXY,0.09007484,9.651323e-06
18.20836,16.24749,15.37926,14.96828,14.63936,GALAXY,0.05858647,9.689614e-06
18.44858,16.64158,15.74129,15.28665,14.95691,GALAXY,0.09146945,1.343213e-05
18.8943,16.95036,15.99515,15.49946,15.15981,GALAXY,0.07187475,1.685761e-05
18.7485,16.92887,16.01476,15.53661,15.20379,GALAXY,0.09074769,1.459667e-05
19.56665,18.80651,18.58877,18.27319,18.29462,GALAXY,0.09109118,6.32445e-06
18.38234,16.95421,16.30656,15.9329,15.67539,GALAXY,0.03470753,8.734309e-06
19.17393,17.21359,16.27157,15.8248,15.47662,GALAXY,0.06577279,1.647364e-05
19.27722,18.56604,18.49245,18.19289,18.24356,GALAXY,0.06592692,5.284458e-06
17.9419,15.83648,14.90562,14.49802,14.13468,GALAXY,0.06475517,1.522516e-05
18.80195,17.7565,17.41958,17.17812,17.00075,GALAXY,0.06252835,7.384804e-06
19.46368,18.53077,18.21151,17.89241,17.83936,GALAXY,0.08750977,6.395852e-06
18.28733,16.35486,15.36386,14.92348,14.56789,GALAXY,0.08589818,1.622323e-05
18.29771,16.8327,16.12997,15.74839,15.49683,GALAXY,0.08524671,1.346019e-05
18.15872,16.81376,16.29421,15.96801,15.77758,GALAXY,0.08500658,8.861104e-06
19.56634,17.54693,16.54986,16.08104,15.71207,GALAXY,0.09583225,2.57719e-05
17.98684,16.47251,15.81394,15.46268,15.17337,GALAXY,0.04489049,1.404002e-05
18.87664,16.51012,15.63642,15.16907,14.93337,GALAXY,0.05907017,1.496243e-05
18.62242,17.26848,16.72807,16.39722,16.2298,GALAXY,0.0755523,1.20659e-05
18.99076,17.66622,17.03964,16.68906,16.44188,GALAXY,0.05877116,1.581223e-05
19.4101,17.97423,17.36129,16.98204,16.74403,GALAXY,0.05556881,9.626881e-06
19.25422,19.21393,18.86104,18.77106,18.86676,QSO,1.41837,0.0003794873
18.38261,16.79611,15.97665,15.5339,15.18144,GALAXY,0.06041586,1.474407e-05
18.66105,18.42251,18.02287,17.87706,17.35503,QSO,0.2949554,3.178515e-05
18.27599,17.14176,16.60717,16.26166,16.00025,GALAXY,0.06051577,1.002077e-05
18.21879,16.91129,16.34912,15.97703,15.75386,GALAXY,0.06321179,9.674373e-06
18.0727,16.87622,16.39775,16.11799,15.84867,GALAXY,0.02730781,7.331944e-06
19.48687,18.22859,17.60157,17.22409,16.9796,GALAXY,0.1190437,8.77683e-06
18.06455,16.95239,16.51781,16.23829,16.12042,GALAXY,0.05567574,9.840929e-06
19.21611,19.03713,18.78335,18.78572,18.75315,QSO,0.9804209,0.0002954338
19.54955,18.24503,17.56337,17.17846,16.9828,GALAXY,0.1162919,1.048607e-05
19.23501,17.86506,17.21064,16.77818,16.5515,GALAXY,0.08579952,6.35128e-06
19.20172,17.60771,16.68459,16.1989,15.81496,GALAXY,0.07509711,1.072213e-05
19.18346,17.82043,17.11052,16.70418,16.41537,GALAXY,0.1157768,8.562283e-06
19.5407,17.62629,16.73414,16.34377,16.02502,GALAXY,0.09257349,2.338826e-05
19.42517,19.09261,18.70419,18.68125,18.61956,QSO,1.105199,0.0006748908
19.00714,18.31501,18.22296,17.93381,17.98163,GALAXY,0.05911654,4.441847e-06
19.14802,18.84754,18.70308,18.57723,18.38481,QSO,2.115461,0.0004259068
19.59039,17.54277,16.63658,16.19631,15.86108,GALAXY,0.07681734,1.853835e-05
19.43327,18.28782,17.83371,17.60342,17.54679,GALAXY,0.03721444,2.207283e-05
19.46975,19.1673,18.98089,18.63812,18.57571,QSO,1.637437,0.0006559301
19.5974,17.79823,17.30265,17.01485,16.85663,GALAXY,0.06011705,1.94998e-05
19.09526,18.88881,18.82274,18.57194,18.54288,QSO,1.900607,0.0006580263
19.32698,19.0019,18.85087,18.9284,18.78805,QSO,0.8498519,0.0004620525
18.76384,17.32435,16.63005,16.22076,15.98654,GALAXY,0.09019303,9.980464e-06
19.30918,17.39267,16.41017,15.96794,15.62826,GALAXY,0.08386093,2.184034e-05
19.23528,18.02417,17.58243,17.26014,17.07948,GALAXY,0.08984977,6.271619e-06
18.96003,17.45436,16.61574,16.18577,15.87955,GALAXY,0.1248578,1.393693e-05
18.52765,18.38209,18.10759,18.16891,18.20408,QSO,1.032001,0.000262306
19.50361,18.54059,17.6952,17.28232,17.00814,GALAXY,0.2101698,1.087544e-05
19.54749,18.33099,17.62213,17.22967,16.91455,GALAXY,0.08606847,7.767308e-06
19.10568,16.99458,15.95897,15.45055,15.06915,GALAXY,0.07824256,1.608853e-05
19.01682,18.87619,18.53721,18.53664,18.64562,QSO,1.226459,0.0003315168
19.13611,17.20601,16.30142,15.86846,15.55149,GALAXY,0.07614572,1.653275e-05
18.7834,16.9356,16.06362,15.64562,15.35142,GALAXY,0.06491159,1.13734e-05
19.38975,17.71216,16.81292,16.39212,16.07703,GALAXY,0.1165363,1.986929e-05
19.13689,18.07238,17.592,17.32022,17.19297,GALAXY,0.06306025,1.007508e-05
18.96715,17.90355,17.3342,16.91115,16.77357,GALAXY,0.1206856,5.457563e-06
19.18067,18.94176,18.71029,18.73783,18.95767,QSO,1.012975,0.0002094615
19.5091,18.01933,17.22618,16.80587,16.55844,GALAXY,0.1186797,1.555106e-05
19.46901,19.17788,18.91343,18.83628,18.88911,QSO,1.254112,0.0005176577
19.51738,17.90143,17.0848,16.59258,16.30671,GALAXY,0.1274955,1.224318e-05
18.35274,18.15939,18.10402,17.89574,17.8702,QSO,1.782895,0.0002914542
18.84039,17.44806,16.74132,16.31242,16.04967,GALAXY,0.08257338,6.480971e-06
17.65733,16.07871,15.38313,14.97704,14.76293,GALAXY,0.05544075,1.355353e-05
18.45289,16.39281,15.38507,14.94031,14.61093,GALAXY,0.08344436,1.146032e-05
19.34092,17.69303,16.7113,16.20548,15.8123,GALAXY,0.083316,2.27364e-05
18.28131,17.24567,16.79166,16.52185,16.32314,GALAXY,0.05546573,6.22121e-06
17.09307,15.20329,14.33122,13.89711,13.54948,GALAXY,0.03217424,7.566399e-06
18.34235,16.37369,15.43122,14.97691,14.61943,GALAXY,0.06927422,1.456313e-05
18.78613,17.56432,17.05544,16.73197,16.57548,GALAXY,0.06892101,7.747091e-06
19.20782,18.11409,17.50517,17.11429,16.91309,GALAXY,0.1603162,9.287276e-06
19.48164,17.94657,17.17507,16.66957,16.44199,GALAXY,0.0,0.0
19.31199,18.14123,17.48134,17.15969,16.98738,GALAXY,0.1539155,1.28919e-05
19.52955,18.1517,17.30437,16.84094,16.53889,GALAXY,0.1406157,2.23829e-05
18.80731,18.45127,18.39191,18.30302,18.25082,QSO,0.6921384,0.0001225398
19.53908,18.39081,17.88287,17.50896,17.36818,GALAXY,0.08540191,8.71386e-06
19.4432,17.99762,17.10229,16.59474,16.27725,GALAXY,0.1401578,1.148692e-05
18.79448,17.49041,16.90947,16.6098,16.44764,GALAXY,0.05039647,1.98425e-05
18.00684,16.60492,15.94356,15.56675,15.29329,GALAXY,0.04275617,9.253159e-06
18.95265,17.01785,16.0226,15.56851,15.2302,GALAXY,0.1075234,1.64705e-05
19.34915,18.1286,17.80081,17.54819,17.49738,GALAXY,0.03445069,1.244161e-05
18.69333,16.72649,15.69624,15.24337,14.9164,GALAXY,0.1087512,2.281606e-05
19.10789,18.83574,18.74784,18.47098,18.4693,QSO,1.615051,0.0003152715
19.08387,17.76178,17.00066,16.60639,16.37591,GALAXY,0.142495,1.349453e-05
19.42396,17.76458,16.82219,16.37289,16.05565,GALAXY,0.1272735,1.966796e-05
18.91051,16.86049,15.74997,15.27166,14.93018,GALAXY,0.1265694,2.071271e-05
19.31684,17.42146,16.45042,15.93677,15.5388,GALAXY,0.05049641,1.855369e-05
17.95856,16.87809,16.21852,15.8379,15.62525,QSO,0.08240458,3.51998e-05
19.14532,17.6145,17.06011,16.70428,16.42635,GALAXY,0.05089023,1.132845e-05
19.54095,18.23506,17.59638,17.25966,17.09829,GALAXY,0.1187436,1.897247e-05
19.45473,18.08951,17.40386,16.97591,16.70646,GALAXY,0.0932006,7.716738e-06
19.5171,18.29368,17.73596,17.43005,17.25553,GALAXY,0.04912736,9.973297e-06
18.71511,17.00597,16.11373,15.6066,15.22283,GALAXY,0.0401237,1.45043e-05
17.8948,17.70291,17.54293,17.41958,17.19108,QSO,2.02363,0.0002312129
19.53449,17.80878,16.76369,16.31454,15.94536,GALAXY,0.1436944,3.740844e-05
18.97227,17.40361,16.46742,16.05296,15.73336,GALAXY,0.1401664,3.899464e-05
18.8188,17.6364,16.98378,16.58825,16.3371,GALAXY,0.1107797,1.065271e-05
18.68724,17.16366,16.5909,16.28472,16.01571,GALAXY,0.03871976,8.977077e-06
19.19551,19.08058,19.06291,18.75718,18.83469,QSO,1.68881,0.0003270753
19.23247,18.53046,18.24579,17.94881,18.02007,GALAXY,0.09902819,5.343061e-06
19.19156,18.1403,17.65626,17.28085,17.17131,GALAXY,0.1081817,6.276002e-06
17.43466,15.52007,14.6805,14.26493,13.92952,GALAXY,0.02724874,1.06452e-05
18.73113,17.63333,17.03356,16.56618,16.40251,GALAXY,0.1112819,8.857098e-06
19.13118,17.7978,17.03716,16.61532,16.32696,GALAXY,0.1221225,1.682315e-05
19.2043,17.79305,16.9822,16.56816,16.29294,GALAXY,0.1220274,1.935908e-05
19.55126,18.208,17.65551,17.26864,17.07203,GALAXY,0.07213074,8.633898e-06
18.59993,18.52309,18.32224,18.20334,17.65565,QSO,0.3588168,7.513189e-05
18.65012,17.20932,16.57503,16.21833,15.98146,GALAXY,0.1204675,2.172224e-05
18.70048,17.19581,16.67278,16.32479,16.088,GALAXY,0.03582334,8.053151e-06
18.12229,16.67189,16.14056,15.8451,15.6171,GALAXY,0.03862897,1.487453e-05
18.69624,16.67695,15.80515,15.38156,15.03285,GALAXY,0.05099756,1.362167e-05
19.23655,17.19032,16.14417,15.68295,15.29905,GALAXY,0.1194665,2.118236e-05
19.00425,17.51494,16.84913,16.51099,16.25893,GALAXY,0.03433589,3.441543e-05
18.84915,17.51752,16.88993,16.55041,16.33352,GALAXY,0.08201928,1.377494e-05
18.09501,16.23233,15.43464,15.01904,14.69682,GALAXY,0.03482375,1.260886e-05
16.29714,15.19804,14.67202,14.34706,14.1038,GALAXY,0.03454351,9.191073e-06
19.21992,18.07492,17.70374,17.48694,17.3669,GALAXY,0.03844053,8.459117e-06
19.30921,18.15908,17.74026,17.48794,17.3327,GALAXY,0.03467258,2.650515e-05
17.89876,17.11803,16.87983,16.68694,16.54944,GALAXY,0.03417384,6.744654e-06
19.35388,18.00075,17.49413,17.24092,17.08143,GALAXY,0.05186434,1.015075e-05
16.64675,15.24357,14.5451,14.15706,13.85872,GALAXY,0.05178326,9.737281e-06
18.33468,16.88754,16.17619,15.80811,15.52782,GALAXY,0.04626086,9.712185e-06
16.86965,15.13768,14.38082,13.99743,13.72849,GALAXY,0.02356985,6.854058e-06
19.56933,18.75908,18.6218,18.45843,18.32288,GALAXY,0.03489631,5.099544e-06
18.9992,17.76972,17.44006,17.26522,17.08086,GALAXY,0.03617858,1.95288e-05
18.15848,17.46574,17.46326,17.45515,17.5028,GALAXY,0.03443754,7.099648e-06
19.22735,17.98359,17.41662,17.10823,16.91432,GALAXY,0.03600877,1.278043e-05
17.35381,16.23288,15.75935,15.53614,15.46937,GALAXY,0.02297084,1.159477e-05
19.29479,18.19388,17.89771,17.70333,17.60497,GALAXY,0.03427632,6.500315e-06
19.06649,18.9171,18.89151,18.65055,18.64598,QSO,1.658048,0.0003872879
17.55611,16.48268,16.07545,15.84915,15.69034,GALAXY,0.03451521,7.039877e-06
15.60178,13.67032,12.84402,12.43145,12.15674,GALAXY,0.01700694,6.023198e-06
19.14148,17.8951,17.20974,16.81696,16.56377,GALAXY,0.1199176,9.775667e-06
18.8259,17.54508,16.97044,16.7105,16.49619,GALAXY,0.02506641,1.072055e-05
19.07878,17.80132,17.14263,16.77527,16.54969,GALAXY,0.1370627,1.32999e-05
19.16545,17.71417,16.91256,16.48097,16.2759,QSO,0.1521014,4.346392e-05
17.61573,16.80984,16.71466,16.6315,16.56917,GALAXY,0.03160536,6.095992e-06
19.21174,18.09741,17.65018,17.34632,17.20893,GALAXY,0.07563569,5.780967e-06
18.9962,18.63011,18.64341,18.46736,18.41535,QSO,0.5262644,4.570478e-05
19.51703,18.23801,17.79222,17.55315,17.39057,GALAXY,0.02931798,1.460063e-05
18.79162,17.33257,16.61098,16.07401,15.77458,GALAXY,0.1013279,6.143927e-06
19.01096,17.84588,17.20961,16.82375,16.64033,GALAXY,0.08396645,9.188418e-06
19.05671,18.52453,17.96267,17.551,17.45016,QSO,0.1686759,4.232897e-05
18.66862,17.38549,16.80334,16.4816,16.33595,GALAXY,0.06672464,1.473287e-05
18.96699,17.17887,16.38324,15.9969,15.69448,GALAXY,0.02884385,1.119782e-05
19.11867,18.88667,18.82814,18.46812,18.42578,QSO,1.774034,0.0003727475
18.04012,16.74387,16.06069,15.66293,15.39725,GALAXY,0.09929232,8.794291e-06
18.58042,16.87668,16.07204,15.68731,15.39985,GALAXY,0.04434173,1.145079e-05
19.13861,17.71837,16.95443,16.546,16.26439,GALAXY,0.09605034,1.02951e-05
18.49981,17.17919,16.63112,16.29329,16.14652,GALAXY,0.06756044,1.983435e-05
19.17234,18.09498,17.54467,17.17308,16.95242,GALAXY,0.08927679,7.303648e-06
18.83397,17.55622,16.86983,16.45845,16.21327,GALAXY,0.1020345,6.300392e-06
19.5632,18.0162,17.28505,16.93252,16.66592,GALAXY,0.06420675,1.952037e-05
19.01331,18.00879,17.63867,17.33687,17.28786,GALAXY,0.06406595,5.442961e-06
18.89411,17.76855,17.23698,16.95159,16.74131,GALAXY,0.03824572,1.922858e-05
15.9399,14.84836,14.47889,14.28748,14.12894,GALAXY,0.01374928,3.907413e-06
19.54647,17.48913,16.50663,16.04009,15.68132,GALAXY,0.1020131,2.042102e-05
16.18871,14.99769,14.37648,14.04213,13.71145,GALAXY,0.01379205,4.432493e-06
